   The N100 values represent engine RPM's that draw 100 watts
   under static (zero aircraft velocity) conditions.  These
   data reflect computed predictions, NOT test measurements.

   These predictions have been compared with 74 test cases and
   the computed means agree rather well.  However, the scatter 
   about the mean is generally on the order of about 10%.

   APC PROP                         N100
   (LPCODE)                         (RPM)

   105x45                           7689
   105x6                            6401
   10x10                            6242
   10x10E                           6311
   10x3                             8751
   10x38SF                          6801
   10x4                             7776
   10x45MR                          7292
   10x45MRF-RH                      7211
   10x46SF                          7205
   10x47SF                          6372
   10x5                             7282
   10x55MR                          6940
   10x58EP(F2B)                     7066
   10x5E                            7416
   10x6-4                           5804
   10x6                             7001
   10x6E                            7067
   10x6F                            7274
   10x7-3                           6797
   10x7                             6821
   10x7E                            6821
   10x7SF                           5867
   10x8                             6636
   10x8E                            6624
   10x9                             6429
   115x125N                         5107
   115x4                            6432
   115x6                            5727
   11x10                            5601
   11x10E                           5607
   11x11                            5501
   11x12                            5407
   11x12E                           5217
   11x12W                           5063
   11x13                            5334
   11x14                            5391
   11x3                             7387
   11x38SF                          6001
   11x4                             6703
   11x45EP                          6903
   11x45MR                          6467
   11x46SF                          6334
   11x47SF                          5592
   11x5                             6398
   11x55E                           6451
   11x55MR                          6156
   11x6-4                           5067
   11x6                             6130
   11x7                             5945
   11x7E-3                          5244
   11x7E                            6072
   11x7SF                           5041
   11x8                             5777
   11x85E                           5808
   11x8E                            5910
   11x8F                            5945
   11x9-4                           4501
   11x9                             5708
   1225x375                         6215
   125x10                           4617
   125x11                           4547
   125x115                          4514
   125x12                           4507
   125x125                          4449
   125x13                           4418
   125x6                            5065
   125x9                            4705
   12x10                            4968
   12x10E                           5062
   12x10W                           4449
   12x11                            4874
   12x115                           4845
   12x11N                           5001
   12x12                            4743
   12x125                           4707
   12x12E                           4862
   12x12N                           4842
   12x13                            4707
   12x13N                           4798
   12x14                            4638
   12x38SF                          5288
   12x4                             6492
   12x45MR                          5747
   12x47SF                          4971
   12x5                             6083
   12x55MR                          5409
   12x6                             5341
   12x65WEP(F2B)                    4985
   12x6E                            5683
   12x6EP(F2B)                      5694
   12x6SF                           4527
   12x7                             5210
   12x8                             5078
   12x85F                           5165
   12x8E                            5281
   12x8SF                           4207
   12x9                             5054
   12x9W                            4505
   134x135-3                        3433
   135x10                           4282
   135x115N                         4322
   135x125                          4070
   135x133                          4029
   135x135                          4024
   135x14                           4022
   135x14W                          3602
   135x9                            4566
   138x10-4                         3235
   13x10                            4257
   13x10E                           4566
   13x10F                           4415
   13x11                            4205
   13x13-4                          3272
   13x135N                          4376
   13x13N                           4424
   13x14                            3912
   13x4                             5865
   13x45EP(F2B)                     5743
   13x45EP                          5727
   13x45MR                          5297
   13x47SF                          4420
   13x4E                            6001
   13x4W                            5406
   13x55E                           5236
   13x55MR                          5038
   13x6                             5159
   13x65E(F2B)                      5093
   13x65E                           5081
   13x7                             5001
   13x7F                            4789
   13x8                             4849
   13x8E                            4798
   13x9                             4346
   144x105                          3815
   144x12                           3718
   144x13                           3656
   144x135                          3607
   144x14                           3583
   145x11-4                         2990
   145x12-4                         2920
   145x13W                          3263
   145x145N                         3763
   145x14N                          3785
   14x10                            3987
   14x10E                           4176
   14x10F                           4022
   14x11                            3909
   14x12                            3858
   14x12E                           4039
   14x12N                           3960
   14x13                            3823
   14x135                           3798
   14x135N                          3856
   14x13N                           3894
   14x14                            3754
   14x14E                           3911
   14x14N                           3832
   14x47SF                          4041
   14x4W                            4940
   14x55MR                          4451
   14x5N                            5208
   14x6                             4313
   14x6E                            4775
   14x7                             4150
   14x7E                            4531
   14x8                             4072
   14x85E                           4334
   155x115W                         3120
   155x12-4                         2632
   155x12                           3177
   155x125W                         3089
   155x12W                          3101
   155x13N                          3470
   1575x13-3                        2642
   15x10                            3505
   15x10E                           3774
   15x11-4                          2823
   15x11                            3437
   15x12                            3378
   15x12F                           3573
   15x12W                           3175
   15x13                            3339
   15x135-3                         3041
   15x13N                           3589
   15x13W-3                         2938
   15x14                            3289
   15x14N                           3561
   15x4E                            5031
   15x4W                            4460
   15x55MR                          4061
   15x6                             4118
   15x6E                            4341
   15x7                             3927
   15x7E                            4147
   15x8                             3721
   15x8E                            4009
   165x12                           3225
   165x12W                          3034
   165x13                           3181
   165x13W                          3023
   165x14                           3154
   165x5W                           3523
   16x10                            3148
   16x10E                           3417
   16x11                            3112
   16x12                            3078
   16x12E                           3300
   16x13                            3059
   16x13N                           3356
   16x14                            3048
   16x14N                           3286
   16x15                            3029
   16x16                            3019
   16x4E                            4568
   16x4W                            4159
   16x55MR                          3703
   16x6                             3698
   16x6E                            4031
   16x7                             3479
   16x7E(3D)                        3791
   16x8                             3318
   16x8E                            3615
   175x18                           2644
   17x10                            3021
   17x10E                           3138
   17x10N                           3084
   17x10WE                          3000
   17x12                            2916
   17x125N                          3019
   17x1275                          2887
   17x12E                           3054
   17x12N                           3030
   17x12W                           2642
   17x13                            2877
   17x13N                           3012
   17x18                            2712
   17x4W                            3822
   17x6                             3449
   17x6E                            3678
   17x7E                            3473
   17x8                             3130
   17x8E                            3321
   17x8N                            3232
   181x10                           2606
   181x10W                          2520
   181x11                           2494
   181x12                           2479
   185x1025WPN                      2673
   185x12WPN                        2553
   185x95                           2476
   18x10                            3040
   18x10E                           2928
   18x10PN                          2888
   18x11                            2869
   18x11WPN                         2730
   18x12                            2918
   18x12E                           2791
   18x12WE                          2693
   18x14                            2800
   18x16                            2700
   18x55MR                          3164
   18x6W                            3223
   18x8                             3155
   18x8E                            3095
   18x8W                            2894
   195x115PN                        2278
   19x10E                           2659
   19x11                            2374
   19x12E                           2542
   19x12WE                          2374
   19x14                            2532
   19x16                            2456
   19x8E                            2910
   19x8W                            2444
   205x105PN                        2177
   205x105WPN                       2186
   205x10PN                         2209
   205x12WE                         2090
   205x135EPN                       2143
   205x14E                          2161
   205x14EPN                        2166
   205x205E(CD)                     2028
   20x10                            2531
   20x105PN                         2272
   20x10E                           2420
   20x10PN                          2263
   20x10W                           2217
   20x11E                           2343
   20x12                            2444
   20x12WE                          2195
   20x13E                           2244
   20x14                            2371
   20x15(WCAR-T6)                   2177
   20x15C                           2349
   20x15E                           2184
   20x16                            2215
   20x18(F1-GT)                     2114
   20x18                            2181
   20x225EP(CD)                     2024
   20x8                             2678
   20x8E                            2654
   20x8W                            2439
   215x105PN                        2162
   215x10WPN                        2169
   215x13EPN                        2068
   21x105PN                         2193
   21x10PN                          2196
   21x10W                           2133
   21x10WPN                         2202
   21x12WE                          2092
   21x135EPN                        2090
   21x13E                           2108
   21x13WE                          2066
   22x10                            2158
   22x10E                           2146
   22x11E                           2095
   22x12E                           2056
   22x12WE                          1893
   22x13EPN                         2060
   22x8                             2278
   24x12E                           1791
   25x125E                          1560
   26x13E                           1431
   26x15E                           1313
   27x13E                           1336
   28x20-4                           976
   41x41E                          25253
   42x2                            29575
   42x4                            24937
   44x4                            23297
   45x35                           22691
   45x4                            22003
   45x41E                          22114
   46x3                            23120
   475x4                           20768
   475x45E                         21152
   475x45EC                        21152
   475x475E                        20950
   475x475EC                       20950
   475x55E                         20288
   47x42E                          21213
   4x33E                           25066
   4x45E                           22691
   4x4E-3                          20213
   51x45E                          16639
   51x50E-3                        14780
   51x50E                          17526
   525x475E                        18089
   525x55E                         17955
   525x625E                        17162
   52x60E                          16621
   55x2                            21476
   55x25                           20002
   55x45E                          17275
   55x47E                          17089
   55x65E                          15922
   57x3                            18366
   5x3                             20739
   5x37E-3                         15579
   5x3E                            21669
   5x43E                           17176
   5x45E                           17219
   5x46E                           16684
   5x4E-3                          14802
   5x4E-4                          14066
   5x4R-RH                         21614
   5x5E                            19366
   5x5F                            21502
   5x75E                           17669
   63x4                            14762
   65x29                           16271
   65x37                           15113
   65x50                           13858
   65x55                           13601
   65x60                           13420
   65x65                           13189
   6x2                             19526
   6x3                             17127
   6x3F                            17002
   6x3R-RH                         21270
   6x4                             15741
   6x42E-3                         12735
   6x43E                           13302
   6x45E                           13131
   6x4E                            15669
   6x5                             14877
   6x55E                           14682
   6x6E                            14409
   74x75C                           9830
   74x76C                           9801
   74x77C                           9773
   74x78C                           9696
   75x25                           14358
   78x4                            11136
   78x4C                           11136
   78x6                            10001
   78x6C                           10001
   78x7                             9779
   78x7C                            9779
   7x10                            10564
   7x3                             14694
   7x38WSF                         10357
   7x4                             12795
   7x41SF                          11638
   7x4E                            12207
   7x4F                            13962
   7x4SF                           11783
   7x5                             12123
   7x5E                            11564
   7x5SF                           11251
   7x6                             11668
   7x65D                            9069
   7x6E                            11144
   7x6F                            12657
   7x6SF                           10820
   7x6W                            10877
   7x7                             11377
   7x7E                            10783
   7x8                             10868
   7x9                             10743
   85x55                            9785
   85x70                            9234
   85x725                           9160
   85x75                            9090
   8625x375                        10630
   875x50                           8534
   875x70N                          8524
   875x70NN                         8904
   875x75N                          8392
   875x75NN                         8834
   875x75W                          8646
   875x775N                         8320
   875x775NN                        8706
   875x775W                         8588
   875x80N                          8320
   875x80NN                         8690
   875x80W                          8533
   875x825N                         8646
   875x825NN                        8588
   875x825W                         8480
   875x85N                          8168
   875x85NN                         8533
   875x85W                          8430
   875x875NN                        8522
   875x875W                         8381
   875x90NN                         8470
   875x90W                          8361
   875x925NN                        8459
   875x925W                         8315
   875x95NN                         8409
   88x85                            8341
   88x875                           8309
   88x89                            8334
   88x90                            8227
   88x925                           8190
   88x95                            8190
   88x975                           8190
   8x10                             8731
   8x375                           11752
   8x375W                          11430
   8x38SF                           9287
   8x4                             10850
   8x41SF                          11780
   8x42SFR                         12533
   8x45MR                          10025
   8x47SF                           8782
   8x4E                            10251
   8x4F                            11362
   8x5                             10212
   8x6                              9724
   8x6E                             9215
   8x6SF                            8446
   8x7                              9596
   8x73                             9422
   8x8                              9258
   8x8E                             8694
   8x9                              9025
   925x50                           9488
   925x525                          9367
   925x55                           9263
   925x575                          9164
   925x60                           8739
   93x3                             9319
   95x45                            8806
