 ====== APC Propeller Static Thrust VS. RPM Predictions =======



                       105x45.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.03          0.00          0.02          0.03          0.08
       2000          0.13          0.00          0.08          0.03          0.08
       3000          0.29          0.01          0.17          0.03          0.08
       4000          0.52          0.02          0.30          0.03          0.08
       5000          0.81          0.04          0.47          0.03          0.08
       6000          1.17          0.06          0.68          0.03          0.08
       7000          1.60          0.10          0.91          0.03          0.08
       8000          2.10          0.15          1.17          0.03          0.08
       9000          2.66          0.21          1.47          0.03          0.08
      10000          3.31          0.29          1.81          0.03          0.09
      11000          4.05          0.42          2.41          0.03          0.09
      12000          4.87          0.60          3.15          0.03          0.09
      13000          5.79          0.83          4.05          0.04          0.09
      13999          6.80          1.15          5.16          0.04          0.09
      15000          7.91          1.56          6.57          0.05          0.09
      16000          9.10          2.12          8.36          0.05          0.09
      17000         10.42          2.93         10.88          0.06          0.09
      18000         11.99          5.11         17.91          0.09          0.10
      19000         13.56          7.51         24.90          0.11          0.10
      20000         15.00          8.83         27.82          0.11          0.10
      21000         16.49         11.99         35.99          0.13          0.10
      22000         17.37          9.31         26.66          0.09          0.09
      23000         18.51          9.81         26.88          0.08          0.09


                       105x6.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.05          0.00          0.03          0.05          0.12
       2000          0.18          0.00          0.13          0.05          0.12
       3000          0.40          0.01          0.30          0.05          0.12
       4000          0.72          0.03          0.53          0.05          0.12
       5000          1.12          0.06          0.81          0.05          0.12
       6000          1.62          0.11          1.13          0.05          0.12
       7000          2.21          0.17          1.56          0.05          0.12
       8000          2.93          0.31          2.41          0.06          0.12
       9000          3.75          0.50          3.51          0.07          0.12
      10000          4.69          0.78          4.90          0.08          0.12
      11000          5.74          1.16          6.65          0.08          0.12
      12000          6.91          1.68          8.81          0.09          0.12
      13000          8.21          2.38         11.54          0.11          0.13
      13999          9.58          3.13         14.11          0.11          0.13
      15000         10.96          3.66         15.36          0.11          0.13
      16000         12.41          4.22         16.64          0.10          0.13
      17000         13.99          5.42         20.09          0.11          0.12
      18000         15.60          6.16         21.56          0.10          0.12
      19000         17.26          6.57         21.79          0.09          0.12


                       10x10.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.04          0.00          0.04          0.08          0.12
       2000          0.16          0.00          0.16          0.08          0.12
       3000          0.35          0.02          0.35          0.08          0.12
       4000          0.62          0.04          0.62          0.08          0.12
       5000          0.97          0.07          0.94          0.07          0.12
       6000          1.39          0.12          1.26          0.07          0.12
       7000          1.88          0.18          1.60          0.06          0.12
       8000          2.49          0.34          2.70          0.08          0.12
       9000          3.27          0.76          5.33          0.13          0.13
      10000          4.16          1.40          8.80          0.17          0.13
      11000          5.18          2.31         13.21          0.22          0.13
      12000          6.33          3.56         18.72          0.26          0.14
      13000          7.62          5.26         25.49          0.30          0.14
      13999          9.06          7.50         33.76          0.34          0.15
      15000         10.67         10.43         43.82          0.38          0.15
      16000         11.87         11.52         45.40          0.35          0.15
      17000         13.09         12.52         46.40          0.32          0.14
      18000         14.47         14.49         50.75          0.31          0.14


                       10x10E.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.04          0.00          0.04          0.07          0.12
       2000          0.15          0.00          0.14          0.07          0.12
