
 ======= APC Propeller Performance Predictions =========================

  Given an RPM, the velocity is determined that yields peak efficiency.

  Be wary of the highest 1 or 2 RPM data points.  The computations inherently tend toward 
  instability at the highest RPM's where solutions generally still appear to be available.
  For example, the following props contain divergent data at the upper RPM limits:
      11x8     (highest RPM)
      22x11E   (2 highest RPM's')


           ========== 105x45 ==========

       RPM       VMPH       EFF      HP
      1000         4        0.68    0.0000
      2000         9        0.68    0.0020
      3000        14        0.68    0.0050
      4000        19        0.68    0.0130
      5000        23        0.68    0.0250
      6000        28        0.68    0.0430
      7000        33        0.70    0.0670
      8000        38        0.72    0.0980
      9000        42        0.74    0.1370
     10000        47        0.75    0.1860
     11000        52        0.76    0.2460
     12000        57        0.77    0.3190
     13000        61        0.78    0.4060
     13999        66        0.78    0.5080
     15000        74        0.79    0.5670
     16000        79        0.80    0.6970
     17000        84        0.80    0.8530
     18000        89        0.81    1.0420
     19000        93        0.80    1.2920
     20000        94        0.75    1.9550
     21000        95        0.69    2.8280
     22000       104        0.66    3.0620
     23000       107        0.59    3.8160
 


           ========== 105x6 ==========

       RPM       VMPH       EFF      HP
      1000         6        0.72    0.0000
      2000        11        0.72    0.0030
      3000        17        0.72    0.0090
      4000        23        0.72    0.0220
      5000        29        0.74    0.0420
      6000        35        0.76    0.0710
      7000        41        0.78    0.1100
      8000        49        0.79    0.1470
      9000        56        0.80    0.2080
     10000        62        0.81    0.2850
     11000        68        0.82    0.3790
     12000        74        0.83    0.4920
     13000        81        0.83    0.6280
     13999        87        0.84    0.7970
     15000        97        0.84    0.8750
     16000       104        0.84    1.0870
     17000       110        0.84    1.3470
     18000       111        0.82    1.9380
     19000       118        0.78    2.6050
 


           ========== 10x10 ==========

       RPM       VMPH       EFF      HP
      1000        10        0.86    0.0000
      2000        20        0.86    0.0040
      3000        31        0.86    0.0130
      4000        41        0.86    0.0320
      5000        51        0.87    0.0610
      6000        61        0.88    0.1040
      7000        72        0.89    0.1640
      8000        82        0.89    0.2450
      9000        92        0.90    0.3500
     10000       103        0.90    0.4830
     11000       113        0.90    0.6470
     12000       123        0.91    0.8480
     13000       133        0.91    1.0900
     13999       149        0.91    1.1670
     15000       160        0.91    1.4670
     16000       170        0.91    1.8370
     17000       181        0.91    2.2850
     18000       190        0.91    2.8660
 


           ========== 10x10E ==========

       RPM       VMPH       EFF      HP
      1000        10        0.86    0.0000
      2000        20        0.86    0.0030
      3000        30        0.86    0.0100
      4000        40        0.86    0.0230
      5000        51        0.86    0.0450
      6000        61        0.87    0.0760
      7000        71        0.88    0.1200
      8000        81        0.89    0.1780
      9000        91        0.89    0.2530
     10000       102        0.90    0.3470
     11000       112        0.90    0.4640
     12000       122        0.91    0.6050
     13000       132        0.91    0.7740
     13999       142        0.91    0.9750
     15000       152        0.92    1.2150
     16000       162        0.92    1.5000
     17000       179        0.92    1.4600
     18000       189        0.92    1.8060
     20000       202        0.89    3.7660
     22000       213        0.82    6.5790
 


           ========== 10x3 ==========

       RPM       VMPH       EFF      HP
      1000         3        0.56    0.0000
      2000         6        0.56    0.0010
      3000        10        0.56    0.0040
      4000        13        0.56    0.0090
      5000        17        0.57    0.0170
      6000        20        0.59    0.0290
      7000        24        0.61    0.0440
      8000        27        0.63    0.0640
      9000        31        0.65    0.0900
     10000        34        0.66    0.1220
     11000        37        0.67    0.1600
     12000        41        0.69    0.2060
     13000        44        0.70    0.2600
     13999        50        0.71    0.2980
     15000        54        0.72    0.3660
     16000        57        0.73    0.4470
     17000        61        0.73    0.5440
     18000        64        0.73    0.6580
     19000        68        0.73    0.7970
     20000        71        0.72    0.9870
     21000        68        0.62    1.6910
     22000        72        0.56    2.2440
     23000        75        0.50    2.8870
     24000        72        0.43    3.6930
 


           ========== 10x38SF ==========

       RPM       VMPH       EFF      HP
      2000        10        0.65    0.0030
      3000        15        0.64    0.0080
      4000        19        0.65    0.0170
      5000        23        0.67    0.0310
      6000        29        0.69    0.0500
      7000        32        0.71    0.0830
      8000        39        0.72    0.1150
      9000        42        0.73    0.1740
     10000        47        0.74    0.2380
     11000        52        0.75    0.3190
     12000        57        0.75    0.4090
     13000        64        0.75    0.5070
     13999        69        0.76    0.6250
     15000        71        0.74    0.8730
     16000        76        0.75    1.0480
     17000        83        0.74    1.2200
     18000        81        0.73    1.7030
     19000        90        0.71    1.9730
     20000        90        0.69    2.5500
 


           ========== 10x4 ==========

       RPM       VMPH       EFF      HP
      1000         4        0.63    0.0000
      2000         8        0.63    0.0010
      3000        13        0.63    0.0050
      5000        22        0.65    0.0220
      6000        26        0.67    0.0380
      7000        30        0.69    0.0580
      8000        35        0.71    0.0850
      9000        39        0.72    0.1190
     10000        44        0.73    0.1620
     11000        48        0.75    0.2140
     12000        52        0.76    0.2770
     13000        59        0.77    0.3170
     13999        64        0.78    0.3950
     15000        68        0.78    0.4880
     16000        73        0.78    0.5990
     17000        78        0.79    0.7330
     18000        82        0.79    0.8900
     19000        86        0.79    1.0800
     20000        91        0.77    1.3520
     21000        91        0.66    2.2090
     22000        96        0.60    2.9730
     23000        95        0.55    3.8780
     24000        93        0.49    4.9360
 


           ========== 10x45MR ==========

       RPM       VMPH       EFF      HP
      2000        10        0.69    0.0020
      3000        15        0.69    0.0060
      4000        19        0.69    0.0150
      5000        24        0.69    0.0290
      6000        29        0.71    0.0490
      7000        34        0.73    0.0750
      8000        39        0.75    0.1080
      9000        44        0.76    0.1520
     10000        49        0.76    0.2060
     11000        56        0.77    0.2470
     12000        62        0.78    0.3180
     13000        67        0.79    0.3990
     13999        72        0.80    0.5030
     15000        78        0.81    0.6150
     16000        83        0.81    0.7550
     17000        89        0.81    0.9110
     18000        93        0.81    1.1230
     19000        93        0.80    1.5310
     20000        98        0.78    1.8670
     21000        98        0.74    2.6050
     22000       103        0.70    3.3200
     23000       103        0.69    3.9490
 


           ========== 10x45MRF-RH ==========

       RPM       VMPH       EFF      HP
      1000         4        0.60    0.0000
      2000         9        0.60    0.0020
      3000        13        0.60    0.0070
      4000        18        0.60    0.0170
      5000        23        0.60    0.0330
      6000        27        0.66    0.0520
      7000        32        0.68    0.0820
      8000        36        0.69    0.1210
      9000        41        0.69    0.1720
     10000        46        0.69    0.2370
     11000        50        0.71    0.3070
     12000        55        0.73    0.3960
     13000        60        0.73    0.5060
     14000        67        0.74    0.5850
     15000        72        0.74    0.7270
     16000        78        0.75    0.8760
     17000        82        0.75    1.0770
     18000        87        0.74    1.3070
 


           ========== 10x46SF ==========

       RPM       VMPH       EFF      HP
      1000         4        0.64    0.0000
      2000        11        0.67    0.0020
      3000        15        0.66    0.0070
      4000        20        0.65    0.0180
      5000        24        0.65    0.0340
      6000        30        0.64    0.0570
      7000        35        0.68    0.0840
      8000        40        0.72    0.1180
      9000        44        0.73    0.1780
     10000        49        0.73    0.2460
     11000        54        0.73    0.3280
     12000        59        0.73    0.4310
     13000        64        0.73    0.5550
     14000        73        0.75    0.6420
     15000        78        0.78    0.7960
     16000        83        0.78    0.9910
 


           ========== 10x47SF ==========

       RPM       VMPH       EFF      HP
      2000        11        0.67    0.0030
      3000        16        0.67    0.0100
      4000        21        0.68    0.0210
      5000        26        0.70    0.0390
      6000        31        0.71    0.0670
      7000        36        0.72    0.1030
      8000        42        0.73    0.1510
      9000        48        0.74    0.2120
     10000        56        0.75    0.2740
     11000        59        0.76    0.3940
     12000        67        0.76    0.4800
     13000        73        0.77    0.6190
     13999        75        0.77    0.8510
     15000        84        0.77    0.9800
     16000        89        0.77    1.2230
     17000        91        0.76    1.6100
     18000       100        0.75    1.8510
     19000       105        0.75    2.2610
     20000       105        0.73    2.9700
 


           ========== 10x5 ==========

       RPM       VMPH       EFF      HP
      1000         5        0.69    0.0000
      2000        10        0.69    0.0020
      3000        15        0.69    0.0060
      4000        20        0.69    0.0150
      5000        25        0.70    0.0280
      6000        30        0.72    0.0470
      7000        35        0.74    0.0740
      8000        40        0.76    0.1080
      9000        47        0.77    0.1390
     10000        53        0.78    0.1880
     11000        58        0.79    0.2490
     12000        64        0.80    0.3220
     13000        69        0.81    0.4080
     13999        74        0.81    0.5130
     15000        79        0.82    0.6350
     16000        85        0.82    0.7860
     17000        90        0.82    0.9570
     18000        99        0.82    1.0240
     19000       104        0.82    1.2480
     20000       110        0.81    1.5520
     21000       111        0.72    2.5580
     23000       115        0.61    4.3950
 


           ========== 10x55MR ==========

       RPM       VMPH       EFF      HP
      2000        12        0.74    0.0020
      3000        18        0.74    0.0070
      4000        24        0.74    0.0170
      5000        29        0.74    0.0330
      6000        35        0.76    0.0560
      7000        41        0.78    0.0860
      8000        47        0.79    0.1240
      9000        53        0.80    0.1750
     10000        59        0.81    0.2390
     11000        66        0.81    0.3160
     12000        72        0.82    0.4060
     13000        78        0.83    0.5140
     13999        84        0.83    0.6370
     15000        94        0.84    0.7040
     16000       101        0.84    0.8570
     17000       103        0.84    1.1790
     18000       108        0.84    1.4510
     19000       114        0.83    1.7840
     20000       114        0.82    2.4230
     23000       128        0.73    4.5420
 


           ========== 10x58EP(F2B) ==========

       RPM       VMPH       EFF      HP
      1000         6        0.73    0.0000
      2000        11        0.73    0.0020
      3000        17        0.73    0.0070
      4000        23        0.73    0.0160
      5000        29        0.73    0.0300
      6000        35        0.75    0.0510
      7000        41        0.77    0.0790
      8000        47        0.78    0.1170
      9000        53        0.80    0.1650
     10000        59        0.80    0.2250
     11000        65        0.81    0.2980
     12000        71        0.82    0.3870
     13000        80        0.83    0.4310
     13999        86        0.84    0.5420
     15000        92        0.84    0.6660
     16000        99        0.85    0.8130
     17000       105        0.85    0.9910
     18000       111        0.85    1.1970
     19000       117        0.85    1.4560
     20000       123        0.83    1.8380
     22000       130        0.75    3.3830
     23000       133        0.70    4.2610
 


           ========== 10x5E ==========

       RPM       VMPH       EFF      HP
      1000         5        0.69    0.0000
      2000        10        0.69    0.0020
      3000        15        0.69    0.0060
      4000        20        0.69    0.0140
      5000        25        0.69    0.0270
      6000        30        0.71    0.0460
      7000        35        0.73    0.0710
      8000        40        0.74    0.1040
      9000        47        0.76    0.1320
     10000        52        0.77    0.1800
     11000        57        0.78    0.2380
     12000        62        0.79    0.3080
     13000        68        0.80    0.3910
     13999        73        0.80    0.4880
     15000        78        0.81    0.6040
     16000        83        0.82    0.7370
     17000        92        0.82    0.7790
     18000        98        0.83    0.9470
     19000       103        0.82    1.1430
     20000       104        0.81    1.6090
     21000       109        0.76    2.1980
 


           ========== 10x6-4 ==========

       RPM       VMPH       EFF      HP
      1000         5        0.70    0.0000
      2000        11        0.70    0.0030
      3000        17        0.70    0.0120
      4000        23        0.70    0.0270
      5000        29        0.70    0.0540
      6000        35        0.71    0.0920
      7000        40        0.72    0.1440
      8000        46        0.74    0.2110
      9000        52        0.75    0.2960
     10000        58        0.76    0.4030
     11000        67        0.77    0.4850
     12000        73        0.78    0.6290
     13000        79        0.78    0.7970
     13999        85        0.79    1.0040
     15000        91        0.80    1.2410
     16000        97        0.80    1.5210
     17000       103        0.81    1.8530
     18000       109        0.81    2.2610
     19000       115        0.79    2.7880
     21000       121        0.69    5.4900
     22000       126        0.63    6.9880
 


           ========== 10x6 ==========

       RPM       VMPH       EFF      HP
      1000         5        0.73    0.0000
      2000        11        0.73    0.0020
      3000        17        0.73    0.0080
      4000        23        0.73    0.0180
      5000        29        0.75    0.0350
      6000        35        0.76    0.0590
      7000        42        0.78    0.0830
      8000        48        0.79    0.1230
      9000        55        0.80    0.1730
     10000        61        0.81    0.2370
     11000        67        0.82    0.3150
     12000        73        0.83    0.4090
     13000        79        0.83    0.5220
     13999        89        0.84    0.5740
     15000        95        0.84    0.7130
     16000       101        0.85    0.8840
     17000       108        0.85    1.0800
     18000       114        0.85    1.3170
     19000       120        0.85    1.6170
     20000       126        0.83    2.0560
 


           ========== 10x6E ==========

       RPM       VMPH       EFF      HP
      1000         6        0.74    0.0000
      2000        12        0.74    0.0020
      3000        18        0.74    0.0070
      4000        24        0.74    0.0160
      5000        30        0.74    0.0310
      6000        36        0.76    0.0520
      7000        42        0.77    0.0810
      8000        48        0.79    0.1190
      9000        54        0.80    0.1670
     10000        60        0.81    0.2290
     11000        66        0.82    0.3020
     12000        76        0.82    0.3430
     13000        82        0.83    0.4400
     13999        88        0.84    0.5500
     15000        94        0.85    0.6800
     16000       101        0.85    0.8310
     17000       107        0.86    1.0080
     18000       113        0.86    1.2240
     19000       119        0.86    1.4910
     20000       125        0.84    1.8840
     23000       131        0.71    4.6370
 


           ========== 10x6F ==========

       RPM       VMPH       EFF      HP
      1000         6        0.74    0.0000
      2000        12        0.74    0.0020
      3000        18        0.74    0.0060
      4000        24        0.74    0.0140
      5000        30        0.74    0.0280
      6000        36        0.75    0.0480
      7000        43        0.77    0.0750
      8000        49        0.78    0.1100
      9000        55        0.80    0.1540
     10000        61        0.81    0.2110
     11000        67        0.81    0.2800
     12000        73        0.82    0.3620
     13000        83        0.83    0.4060
     13999        89        0.83    0.5090
     15000        95        0.84    0.6290
     16000       102        0.85    0.7700
     17000       108        0.85    0.9380
     18000       114        0.86    1.1360
     19000       120        0.86    1.3940
     20000       126        0.84    1.7600
     21000       128        0.79    2.6920
     23000       137        0.71    3.9880
     24000       142        0.68    4.3540
 


           ========== 10x7-3 ==========

       RPM       VMPH       EFF      HP
      1000         6        0.78    0.0000
      2000        13        0.78    0.0020
      3000        20        0.78    0.0080
      4000        27        0.78    0.0190
      5000        33        0.78    0.0380
      6000        40        0.78    0.0650
      7000        47        0.78    0.1040
      8000        54        0.78    0.1560
      9000        61        0.79    0.2210
     10000        67        0.80    0.3010
     11000        74        0.81    0.3990
     12000        81        0.82    0.5160
     13000        88        0.83    0.6550
     13999        95        0.84    0.8200
     15000       101        0.84    1.0210
     16000       113        0.85    1.1060
     17000       120        0.85    1.3500
     18000       127        0.85    1.6530
     20000       129        0.79    3.5500
     22000       146        0.72    5.0510
 


           ========== 10x7 ==========

       RPM       VMPH       EFF      HP
      1000         6        0.77    0.0000
      2000        13        0.77    0.0020
      3000        20        0.77    0.0080
      4000        27        0.77    0.0200
      5000        34        0.78    0.0380
      6000        41        0.80    0.0640
      7000        47        0.81    0.0990
      8000        54        0.82    0.1470
      9000        61        0.83    0.2090
     10000        68        0.84    0.2870
     11000        78        0.85    0.3350
     12000        85        0.85    0.4350
     13000        92        0.86    0.5550
     13999        99        0.86    0.6970
     15000       106        0.87    0.8630
     16000       113        0.87    1.0660
     17000       120        0.87    1.3090
     18000       127        0.87    1.6000
     19000       134        0.86    1.9710
     20000       141        0.85    2.4990
     21000       154        0.77    2.9730
 


           ========== 10x7E ==========

       RPM       VMPH       EFF      HP
      1000         6        0.78    0.0000
      2000        13        0.78    0.0020
      3000        20        0.78    0.0080
      4000        27        0.78    0.0190
      5000        34        0.78    0.0370
      6000        41        0.79    0.0630
      7000        48        0.81    0.0990
      8000        55        0.82    0.1460
      9000        64        0.83    0.1810
     10000        71        0.84    0.2480
     11000        79        0.85    0.3280
     12000        86        0.85    0.4260
     13000        93        0.86    0.5470
     13999       100        0.86    0.6860
     15000       107        0.87    0.8500
     16000       119        0.87    0.8750
     17000       126        0.88    1.0660
     18000       134        0.88    1.2950
     19000       141        0.88    1.5930
     20000       148        0.86    2.0130
     21000       143        0.82    3.6010
     22000       157        0.78    3.7560
     23000       156        0.74    5.0440
     24000       161        0.71    5.6690
 


           ========== 10x7SF ==========

       RPM       VMPH       EFF      HP
      2000        15        0.75    0.0040
      3000        22        0.75    0.0140
      4000        29        0.76    0.0330
      5000        36        0.78    0.0590
      6000        44        0.80    0.0990
      7000        51        0.80    0.1540
      8000        59        0.81    0.2280
      9000        67        0.81    0.3190
     10000        75        0.82    0.4460
     11000        86        0.82    0.5350
     12000        93        0.83    0.7210
     13000       101        0.83    0.9280
     13999       109        0.82    1.1860
     15000       117        0.82    1.4710
     16000       125        0.82    1.8200
     17000       126        0.82    2.4520
     18000       140        0.81    2.7350
     19000       149        0.79    3.3970
 


           ========== 10x8 ==========

       RPM       VMPH       EFF      HP
      1000         7        0.79    0.0000
      2000        15        0.79    0.0030
      3000        22        0.79    0.0100
      4000        30        0.79    0.0230
      5000        38        0.81    0.0450
      6000        45        0.82    0.0760
      7000        53        0.84    0.1190
      8000        60        0.84    0.1770
      9000        68        0.85    0.2500
     10000        75        0.86    0.3440
     11000        87        0.86    0.4020
     12000        95        0.87    0.5210
     13000       102        0.87    0.6700
     13999       110        0.88    0.8420
     15000       118        0.88    1.0520
     16000       126        0.88    1.3070
     17000       134        0.88    1.6040
     18000       142        0.88    1.9710
     19000       149        0.87    2.4470
     20000       157        0.85    3.1360
 


           ========== 10x8E ==========

